city,country,lon,lat,temp,max_temp,min_temp,humidity,cloudiness,WindSpeed,Date
Haines Junction,CA,-137.51,60.75,46.77,46.77,46.77,43,88,2.71,1538180960
Jizan,SA,42.56,16.89,89.6,89.6,89.6,75,0,3.36,1538179200
Severo-Yeniseyskiy,RU,93.04,60.37,36.96,36.96,36.96,91,0,5.61,1538180960
Nijar,ES,-2.21,36.97,69.8,69.8,69.8,68,88,1.7,1538179200
Yatou,CM,9.81,3.63,77,77,77,100,75,2.24,1538179200
Natal,BR,-35.21,-5.81,77,77,77,83,20,6.93,1538179200
Skjervoy,NO,20.97,70.03,38.4,38.4,38.4,100,92,12.66,1538180961
Puerto Baquerizo Moreno,EC,-89.6,-0.9,71.6,71.6,71.6,83,75,12.75,1538179200
Basco,US,-91.2,40.33,50.45,51.98,50,76,90,5.82,1538180100
Kuchinarai,TH,104.05,16.54,77.55,77.55,77.55,85,56,8.63,1538180961
Havoysund,NO,24.66,71,33.8,33.8,33.8,86,75,12.75,1538178600
Takanabe,JP,131.49,32.13,69.8,69.8,69.8,94,75,4.7,1538178120
Derzhavinsk,KZ,66.31,51.1,38.22,38.22,38.22,86,8,8.08,1538180962
Puerto del Rosario,ES,-13.86,28.5,75.2,75.2,75.2,83,88,12.75,1538179200
Potiskum,NG,11.08,11.71,77.46,77.46,77.46,71,32,8.97,1538180962
Henties Bay,NA,14.28,-22.12,54.87,54.87,54.87,98,0,1.92,1538180963
Galesburg,US,-90.37,40.95,50.31,51.98,49.28,82,90,6.93,1538180100
Kensington,CA,-63.64,46.44,55.4,55.4,55.4,100,90,9.19,1538179200
Sakaiminato,JP,133.23,35.55,63.41,64.4,62.6,82,75,3.36,1538175600
Cabo San Lucas,MX,-109.91,22.89,83.34,84.2,82.4,78,75,5.82,1538178600
Mae Sai,MM,99.89,20.44,75.2,75.2,75.2,100,75,4.7,1538179200
Maraba,BR,-49.1,-5.35,82.4,82.4,82.4,74,20,5.82,1538179200
Mwinilunga,ZM,24.43,-11.73,70.44,70.44,70.44,59,64,2.48,1538180963
Kasongo-Lunda,CD,16.82,-6.48,68.01,68.01,68.01,97,76,2.26,1538180964
Muros,ES,-9.06,42.77,60.8,60.8,60.8,100,40,3.36,1538179200
Pitimbu,BR,-34.81,-7.47,75.2,75.2,75.2,83,20,4.7,1538179200
